item_id	domain_id	domain_name	dimension_id	dimension_name	facet_id	facet_name	method_family	item_format	item_text	option_a	option_b	option_c	option_d	option_e	keyed_answer	response_scale	primary_domain_id	primary_dimension_id	primary_facet_id	secondary_dimension_ids	loading_type	intended_meaning	prohibited_overlap	bank_state	use_status	validation_track
NEX-GMB-001	D1	Personality Architecture	D1-CE	Conscientious Execution	D1-CE-DEP	Dependability	likert	statement	I often struggle to keep my commitments when unexpected tasks come up.							1-5 Agreement	D1	D1-CE	D1-CE-DEP	D5-ED,D5-WS,D4-SR	adjacent	Measures reliability in honoring commitments despite workload changes.	Achievement Drive as identity	production	operational_allowed	calibration,discriminant
NEX-GMB-002	D1	Personality Architecture	D1-CE	Conscientious Execution	D1-CE-DEP	Dependability	likert	statement	I often need reminders to complete assigned tasks on time.							1-5 Agreement	D1	D1-CE	D1-CE-DEP	D5-ED,D5-WS,D4-SR	adjacent	Measures punctuality and dependability in task completion.	Achievement Drive as identity	production	operational_allowed	calibration,discriminant
NEX-GMB-003	D1	Personality Architecture	D1-CE	Conscientious Execution	D1-CE-FT	Follow-Through	likert	statement	I frequently leave projects unfinished when they become difficult.							1-5 Agreement	D1	D1-CE	D1-CE-FT	D5-ED,D5-WS	adjacent	Measures persistence in completing projects despite challenges.	Adaptability as identity	production	operational_allowed	calibration,discriminant
NEX-GMB-004	D1	Personality Architecture	D1-CE	Conscientious Execution	D1-CE-FT	Follow-Through	likert	statement	I avoid leaving tasks unfinished at the end of the day.							1-5 Agreement	D1	D1-CE	D1-CE-FT	D5-ED,D5-WS	adjacent	Measures tendency to close out work within the workday.	Adaptability as identity	production	operational_allowed	calibration,discriminant
NEX-GMB-005	D1	Personality Architecture	D1-CE	Conscientious Execution	D1-CE-ORG	Organization	likert	statement	I keep my work area and files systematically arranged for easy access.							1-5 Agreement	D1	D1-CE	D1-CE-ORG	D5-WS,D3-SD	adjacent	Measures organizational skills for workspace and document management.	Security Drive as identity	production	operational_allowed	calibration,discriminant
NEX-GMB-006	D1	Personality Architecture	D1-CE	Conscientious Execution	D1-CE-ORG	Organization	likert	statement	I plan my tasks in advance to prevent last-minute pressure.							1-5 Agreement	D1	D1-CE	D1-CE-ORG	D5-WS,D3-SD	adjacent	Measures proactive organization and planning to avoid urgency.	Security Drive as identity	production	operational_allowed	calibration,discriminant
NEX-GMB-007	D1	Personality Architecture	D1-CE	Conscientious Execution	D1-CE-OV1	Conscientious Execution Overlay 1	forced_choice	paired_statement	Choose the statement that is more like you at work.	I prefer to complete tasks thoroughly before moving on to new work.	I prefer to balance completing tasks with adapting to new priorities as they arise.				A_or_B	forced_choice_binary	D1	D1-CE	D1-CE-OV1		adjacent	Measures preference for thorough task completion versus flexible adaptation.	Dimension overlay should not collapse into image management or generic superiority signaling.	production	operational_allowed	calibration,discriminant
NEX-GMB-008	D1	Personality Architecture	D1-CE	Conscientious Execution	D1-CE-OV2	Conscientious Execution Overlay 2	forced_choice	paired_statement	Choose the statement that is more like you at work.	I structure my day with strict time blocks to ensure productivity.	I keep my schedule flexible to respond quickly to changes in workload.				A_or_B	forced_choice_binary	D1	D1-CE	D1-CE-OV2		adjacent	Measures preference for structured time management versus flexibility.	Dimension overlay should not collapse into image management or generic superiority signaling.	production	operational_allowed	calibration,discriminant
NEX-GMB-009	D1	Personality Architecture	D1-CE	Conscientious Execution	D1-CE-SD	Self-Discipline	likert	statement	I resist distractions and stay focused on work until it is done.							1-5 Agreement	D1	D1-CE	D1-CE-SD	D5-ED,D4-SR	adjacent	Measures self-discipline in maintaining focus until task completion.	Achievement Drive as identity	production	operational_allowed	calibration,discriminant
NEX-GMB-010	D1	Personality Architecture	D1-CE	Conscientious Execution	D1-CE-SD	Self-Discipline	likert	statement	I stick to my priorities even when others ask me to change plans.							1-5 Agreement	D1	D1-CE	D1-CE-SD	D5-ED,D4-SR	adjacent	Measures ability to maintain discipline in prioritization under interruptions.	Achievement Drive as identity	production	operational_allowed	calibration,discriminant
NEX-GMB-011	D1	Personality Architecture	D1-CE	Conscientious Execution	D1-CE-TD	Time Discipline	likert	statement	I start meetings and work tasks at the scheduled time without delay.							1-5 Agreement	D1	D1-CE	D1-CE-TD	D5-ED	adjacent	Measures punctuality and time discipline for scheduled activities.	General ability explanation	production	operational_allowed	calibration,criterion
NEX-GMB-012	D1	Personality Architecture	D1-CE	Conscientious Execution	D1-CE-TD	Time Discipline	likert	statement	I manage my calendar to complete deadlines ahead of schedule when possible.							1-5 Agreement	D1	D1-CE	D1-CE-TD	D5-ED	adjacent	Measures proactive time management to meet or beat deadlines.	General ability explanation	production	operational_allowed	calibration,criterion
NEX-GMB-013	D1	Personality Architecture	D1-EO	Exploratory Openness	D1-EO-AT	Ambiguity Tolerance	likert	statement	I find it challenging to stay calm and effective when project details are unclear or incomplete.							1-5 Agreement	D1	D1-EO	D1-EO-AT	D2-DC,D5-AD	adjacent	Measures comfort and effectiveness in handling ambiguity at work.	Confidence image only	production	operational_allowed	calibration,discriminant
NEX-GMB-014	D1	Personality Architecture	D1-EO	Exploratory Openness	D1-EO-AT	Ambiguity Tolerance	likert	statement	I feel comfortable making decisions even with limited information.							1-5 Agreement	D1	D1-EO	D1-EO-AT	D2-DC,D5-AD	adjacent	Measures discomfort with uncertain or ambiguous work situations.	Confidence image only	production	operational_allowed	calibration,discriminant
NEX-GMB-015	D1	Personality Architecture	D1-EO	Exploratory Openness	D1-EO-CR	Conceptual Range	likert	statement	I prefer to stick to one approach rather than explore multiple ways to solve complex problems at work.							1-5 Agreement	D1	D1-EO	D1-EO-CR	D2-SST,D5-AD	adjacent	Measures willingness to consider diverse ideas and perspectives in professional tasks.	Strategic Systems Thinking as identity	production	operational_allowed	calibration,discriminant
NEX-GMB-016	D1	Personality Architecture	D1-EO	Exploratory Openness	D1-EO-CR	Conceptual Range	likert	statement	I prefer sticking to one proven method rather than trying different strategies.							1-5 Agreement	D1	D1-EO	D1-EO-CR	D2-SST,D5-AD	adjacent	Measures preference for limited conceptual range in problem-solving.	Strategic Systems Thinking as identity	production	operational_allowed	calibration,discriminant
NEX-GMB-017	D1	Personality Architecture	D1-EO	Exploratory Openness	D1-EO-CRE	Creativity	likert	statement	I often come up with new ideas to improve how we do our work.							1-5 Agreement	D1	D1-EO	D1-EO-CRE	D2-AR,D5-AD	adjacent	Measures creativity in generating novel ideas at work.	Novelty image only	production	operational_allowed	calibration,discriminant
NEX-GMB-018	D1	Personality Architecture	D1-EO	Exploratory Openness	D1-EO-CRE	Creativity	likert	statement	I rarely think outside the usual ways to complete my tasks.							1-5 Agreement	D1	D1-EO	D1-EO-CRE	D2-AR,D5-AD	adjacent	Measures limited creativity or novelty in workplace behavior.	Novelty image only	production	operational_allowed	calibration,discriminant
NEX-GMB-019	D1	Personality Architecture	D1-EO	Exploratory Openness	D1-EO-CUR	Curiosity	likert	statement	I ask questions and seek information to better understand my work environment.							1-5 Agreement	D1	D1-EO	D1-EO-CUR	D3-LD,D5-AD	adjacent	Measures curiosity and active information seeking in the workplace.	Learning Drive as identity	production	operational_allowed	calibration,discriminant
NEX-GMB-020	D1	Personality Architecture	D1-EO	Exploratory Openness	D1-EO-CUR	Curiosity	likert	statement	I prefer not to investigate beyond what is needed for my current tasks.							1-5 Agreement	D1	D1-EO	D1-EO-CUR	D3-LD,D5-AD	adjacent	Measures low curiosity or limited information seeking at work.	Learning Drive as identity	production	operational_allowed	calibration,discriminant
NEX-GMB-021	D1	Personality Architecture	D1-EO	Exploratory Openness	D1-EO-LA	Learning Appetite	likert	statement	I look for opportunities to learn new skills or knowledge related to my job.							1-5 Agreement	D1	D1-EO	D1-EO-LA	D3-LD,D2-LA	adjacent	Measures proactive learning appetite in professional settings.	Security Drive as identity	production	operational_allowed	calibration,discriminant
NEX-GMB-022	D1	Personality Architecture	D1-EO	Exploratory Openness	D1-EO-LA	Learning Appetite	likert	statement	I avoid taking on learning activities that are not directly required for my role.							1-5 Agreement	D1	D1-EO	D1-EO-LA	D3-LD,D2-LA	adjacent	Measures reluctance to engage in voluntary learning at work.	Security Drive as identity	production	operational_allowed	calibration,discriminant
NEX-GMB-023	D1	Personality Architecture	D1-EO	Exploratory Openness	D1-EO-OV1	Exploratory Openness Overlay 1	forced_choice	paired_statement	Choose the statement that is more like you at work.	I prefer to quickly decide on tasks even if some details are unclear.	I prefer to gather more information before making decisions when details are lacking.				A_or_B	forced_choice_binary	D1	D1-EO	D1-EO-OV1		adjacent	Measures preference balance between quick action under ambiguity and cautious information gathering.	Dimension overlay should not collapse into image management or generic superiority signaling.	production	operational_allowed	calibration,discriminant
NEX-GMB-024	D1	Personality Architecture	D1-EO	Exploratory Openness	D1-EO-OV2	Exploratory Openness Overlay 2	forced_choice	paired_statement	Choose the statement that is more like you at work.	I enjoy trying new learning methods even if it means adapting my usual approach.	I prioritize using familiar methods to focus my learning efficiently.				A_or_B	forced_choice_binary	D1	D1-EO	D1-EO-OV2		adjacent	Measures preference balance between exploratory learning and efficiency in learning approach.	Dimension overlay should not collapse into image management or generic superiority signaling.	production	operational_allowed	calibration,discriminant
NEX-GMB-025	D1	Personality Architecture	D1-ES	Emotional Steadiness	D1-ES-COMP	Composure	likert	statement	I often feel unsettled and unclear-headed when unexpected problems arise at work.							1-5 Agreement	D1	D1-ES	D1-ES-COMP	D4-SR,D4-RM	adjacent	Measures ability to maintain composure during workplace disruptions.	Self-Regulation as identity	production	operational_allowed	calibration,discriminant
NEX-GMB-026	D1	Personality Architecture	D1-ES	Emotional Steadiness	D1-ES-COMP	Composure	likert	statement	My emotions tend to fluctuate when I receive critical feedback.							1-5 Agreement	D1	D1-ES	D1-ES-COMP	D4-SR,D4-RM	adjacent	Measures emotional composure when faced with criticism.	Self-Regulation as identity	production	operational_allowed	calibration,discriminant
